,Letter,English,French
0,a,0.0834,0.0870
1,b,0.0154,0.0093
2,c,0.0273,0.0316
3,d,0.0414,0.0355
4,e,0.1260,0.1783
5,f,0.0203,0.0096
6,g,0.0192,0.0097
7,h,0.0611,0.0108
8,i,0.0671,0.0698
9,j,0.0023,0.0071
10,k,0.0087,0.0016
11,l,0.0424,0.0568
12,m,0.0253,0.0323
13,n,0.0680,0.0642
14,o,0.0770,0.0535
15,p,0.0166,0.0303
16,q,0.009,0.0089
17,r,0.0568,0.0643
18,s,0.0611,0.0791
19,t,0.0937,0.0711
20,u,0.0285,0.0614
21,v,0.0106,0.0183
22,w,0.0234,0.0004
23,x,0.0020,0.0042
24,y,0.0204,0.0019
25,z,0.0006,0.0021
